,,,UCS,BDS,TDS,
,,,9373,5363,2898,In general the path costs are slightly different for each one of the methods. So optimality is not always guarenteed?
,,,9530,6207,2864,
,,,21178,18994,12599,
,,,25707,13577,9489,Same path cost for all three methods
,,,24823,13126,9222,
,,,21462,17501,12210,wrong path for TDS
,,,17829,16986,12008,
,,,8184,3971,2535,
,,,19812,17342,13270,wrong path for TDS
,,,32799,18968,13817,
,,,5726,4177,3332,
,,,21462,16073,10670,
,,,16890,17094,10459,"wrong path for TDS, and BDS is worse than UCS"
,,,26373,16770,9919,wrong path for TDS
,,,16870,3267,1043,
,,,20810,18497,12286,
,,,20650,16779,12266,wrong path for TDS
,,,20829,16171,10576,
,,,28303,17840,10207,Same path cost for all three methods
,,,21245,8569,8,Path not found between two nodes
,,,12914,1045,49,Path not found between two nodes
,,,22609,15816,11051,
,,,22471,18520,12982,
,,,13827,586,11,
,,,14599,7276,4097,
,,,24026,17752,11676,
,,,21138,18058,12947,wrong path for tds
,,,12560,190,12,no solution 
,,,15641,2517,166,no solution 
,,,14159,15761,11665,different path for TDS
,,,21977,17873,12610,different path for TDS
,,,18513,4705,295,no solution 
,,,21221,16938,11467,different path for TDS
,,,20473,19009,12373,
,,,21565,2938,31,
,,,39764,19499,12236,wrong path for tds
,,,58263,27522,12244,wrong path for tds
,,,71415,28302,12252,wrong path for tds
,,,88582,45581,24132,
,,,101953,50691,27439,
,,,118035,64911,37712,
,,,132005,79581,48602,
,,,21280,17957,11824,
,,,38272,32944,22662,
,,,57158,51545,35194,
,,,68116,57627,38147,
,,,91040,76290,50715,wrong path for tds
,,,100228,78645,52182,all have same costs
,,,107434,83209,55100,
,,,125065,99691,65589,
,,,143423,113229,75451,
,,,146625,82122,48881,wrong path for tds
,,,152190,117448,78481,wrong path for tds
,,,171473,125248,78591,wrong path for tds
,,,186531,127939,78872,
,,,203563,136298,86554,
,,,224366,155432,99709,
,,,244362,173440,111964,wrong path for tds
,,,267086,191603,124737,
,,,287849,208825,136555,
,,,299841,208891,             136584,
,,,314434,224841,             148121,
,,,326576,239596,             159028,
,,,345744,247555,             159192,
,,,353730,250955,             161183,
,,,370440,266499,             171572,
,,,390897,285472,             184101,
,,,410614,301210,             194712,
,,,418860,306995,             198598,
,,,439286,314273,             198806,
,,,452693,321105,             204380,
,,,168956,90964,48992,
,,,483504,341072,215064,
,,,497074,342860,215072,
,,,516436,352999,224194,
,,,533971,357324,224329,
,,,559576,369869,233335,
,,,579091,385693,243036,
,,,188611,109567,61600,
,,,600182,394449,243151,
,,,619944,412331,256247,
,,,202969,112521,61609,
,,,215921,117800,65038,
,,,234774,125901,65247,
,,,631981,412487,256262,
,,,641869,416863,259201,
,,,659757,434444,272422,
,,,672139,435470,272696,
,,,679856,440621,276278,
,,,698210,447531,277335,
,,,711857,448734,277495,
,,,252371,131555,66321,
,,,733345,467112,290165,
,,,740548,469706,291765,
,,,744947,470553,292956,
,,,265178,147369,77836,
,,,758328,471482,293075,
,,,773235,476117,296117,
,,,793913,493344,306975,
,,,282066,149336,77914,
